Urls,Alive,Result Code,Result Text,Socket Error
testcovidathome.com,Yes,404,Not Found,
coronavirusitalia.shop,Yes,404,Not Found,
coronaprepare.com,Yes,404,Not Found,
fuckthecorona.com,Yes,404,Not Found,
covid-19signage.com,Yes,404,Not Found,
coronavirusmask.info,Yes,404,Not Found,
coronavirusmedicalmasks.com,Yes,404,Not Found,
covid-safety.org,Yes,404,Not Found,
covidati.it,Yes,404,Not Found,
coronavirusemergencykits.com,Yes,404,Not Found,
coronavirusstockpile.com,Yes,404,Not Found,
gocorona.in,Yes,404,Not Found,
isurvivedcoronovirus.online,Yes,404,Not Found,
nocoronamask.com,Yes,404,Not Found,
coronagel.ca,Yes,404,Not Found,
buycoronamasks.co.uk,Yes,404,Not Found,
covidprotectionmask.com,Yes,404,Not Found,
we-vs-corona.com,Yes,404,Not Found,
covidppesupplies.com,Yes,404,Not Found,
del-coronavirus.com,Yes,404,Not Found,
coronavirus-covid-19.com.au,Yes,404,Not Found,
productsagainstcoronavirus.com,Yes,404,Not Found,
projecthelpcovid19.ca,Yes,404,Not Found,
thecoronacover.com,Yes,404,Not Found,
covid19athometesting.com,Yes,404,Not Found,
coronavirus-medicalsupplies.com,Yes,404,Not Found,
normalitaet-waehrend-covid.de,Yes,404,Not Found,
covid-19sanity.com,Yes,404,Not Found,
fitcorona.com,Yes,404,Not Found,
killcovid19withkindness.org,Yes,404,Not Found,
coronabags.com,Yes,404,Not Found,
sealcovid19.com,Yes,404,Not Found,
coronadefensemask.com,Yes,404,Not Found,
coronavirusfaces.com,Yes,404,Not Found,
covid19bioclean.com.au,Yes,404,Not Found,
fitnessincovid19.com,Yes,404,Not Found,
shop-covid-19.com,Yes,404,Not Found,
kutcovid-19.com,Yes,404,Not Found,
catchacorona.com,Yes,404,Not Found,
covidsupplies.store,Yes,404,Not Found,
covid-19training.store,Yes,404,Not Found,
thecovid19kit.com,Yes,404,Not Found,
killcovid19withkindness.com,Yes,404,Not Found,
covid19-stayfit.com,Yes,404,Not Found,
covid-19pharm.com,Yes,404,Not Found,
covid19homefitness.com,Yes,404,Not Found,
covid-19brazil.com.br,Yes,404,Not Found,
bandanacoronas.com,Yes,404,Not Found,
coronaction.world,Yes,404,Not Found,
covid-19panama.com,Yes,404,Not Found,
covid19backtobasics.com,Yes,404,Not Found,
anticovid19-mask.online,Yes,404,Not Found,
covid-19helps.com,Yes,404,Not Found,
covid-19youthdialogue.org,Yes,404,Not Found,
loveinthetimeofcovid-19podcast.com,Yes,404,Not Found,
covid19pty.com,Yes,404,Not Found,
anticoronavirusbay.com,Yes,404,Not Found,
covid-19care.store,Yes,404,Not Found,
caronavirusequipment.com,Yes,404,Not Found,
corona19supplies.ca,Yes,404,Not Found,
coronaarmor.com,Yes,404,Not Found,
thecovidkit.com,Yes,404,Not Found,
coronacleanhands.com,Yes,404,Not Found,
maskforcorona.shop,Yes,404,Not Found,
staysafefromcoronavirus.com,Yes,404,Not Found,
forcovid.com,Yes,404,Not Found,
chestercoronavirusdeliveries.co.uk,Yes,404,Not Found,
covid19detectors.com,Yes,404,Not Found,
covid19-20.com,Yes,404,Not Found,
covid-69.nl,Yes,404,Not Found,
corronavirusmask.com,Yes,404,Not Found,
coronavirusmask.shop,Yes,404,Not Found,
notodaycorona.com,Yes,404,Not Found,
covid-19-research.com,Yes,404,Not Found,
coronafacemask.co.za,Yes,404,Not Found,
coronastopfda.com,Yes,404,Not Found,
corona-protector.org,Yes,404,Not Found,
coronakills.org,Yes,404,Not Found,
gam-covid19.org,Yes,404,Not Found,
guiadocorona.com,Yes,404,Not Found,
anticoronax.com,Yes,404,Not Found,
homecovid19testkits.com,Yes,404,Not Found,
top10coronamasks.net,Yes,404,Not Found,
coronadnatest.com,Yes,404,Not Found,
coronovirusprevention.org,Yes,404,Not Found,
urgence-covid19.com,Yes,404,Not Found,
corona2020.store,Yes,404,Not Found,
corona-viruset.se,Yes,404,Not Found,
coronaviruscleaningchemicalsaustralia.com,Yes,404,Not Found,
erasecoronavirus.com,Yes,404,Not Found,
corona-prepping.com,Yes,404,Not Found,
coronavirith.com,Yes,404,Not Found,
covid-global.com,Yes,404,Not Found,
coronavirusprotection.fr,Yes,404,Not Found,
coronaprotect.org.uk,Yes,404,Not Found,
anticoronamaske.de,Yes,404,Not Found,
viruscorona.gq,Yes,404,Not Found,
coronamaskn95.com,Yes,404,Not Found,
coronavirusbuttons.com,Yes,404,Not Found,
masqueanticoronavirus.com,Yes,404,Not Found,
letsstopcorona.com,Yes,404,Not Found,
coronvirus.com,Yes,404,Not Found,
corona-virusaid.com,Yes,404,Not Found,
coronavirusshop.co,Yes,404,Not Found,
coronavirus3mmasks.com,Yes,404,Not Found,
selfquarantinestore.com,Yes,404,Not Found,
covid19goaerobic.life,Yes,404,Not Found,
anticoronaclubusa.com,Yes,404,Not Found,
corona-chronicle.com,Yes,404,Not Found,
covid-doctor.org,Yes,404,Not Found,
coronavirusdaily.info,Yes,404,Not Found,
coronavirusawareness.com,Yes,404,Not Found,
buycoronamasks.eu,Yes,404,Not Found,
coronaviruscleaningchemicals.com,Yes,404,Not Found,
coronacleaningcompany.com,Yes,404,Not Found,
covid19virusupplies.com,Yes,404,Not Found,
covid-19-mask.info,Yes,404,Not Found,
covid19-merch.com,Yes,404,Not Found,
covid-19-mask.nl,Yes,404,Not Found,
xcovid9teen.com,Yes,404,Not Found,
vaccinecovid-19fundraisingforresearch.com,Yes,404,Not Found,
officialfuckcoronavirus.com,Yes,404,Not Found,
corona-tshirts.com,Yes,404,Not Found,
fightingthecorona.com,Yes,404,Not Found,
covid-19essentials.com,Yes,404,Not Found,
covid19hygiene.store,Yes,404,Not Found,
covid-19-mask.eu,Yes,404,Not Found,
coronavirusdef.us,Yes,404,Not Found,
innovatecovid19.com,Yes,404,Not Found,
coronaparty.today,Yes,404,Not Found,
covid19supply.store,Yes,404,Not Found,
safecoronaa.com,Yes,404,Not Found,
coronapparel.com,Yes,404,Not Found,
covid19equipment.com,Yes,404,Not Found,
medicalprotectcovid19.com,Yes,404,Not Found,
coronafacemasks.site,Yes,404,Not Found,
covid-19war.com,Yes,404,Not Found,
disinfect-covid19.com,Yes,404,Not Found,
coronavirusrapidtesting.es,Yes,404,Not Found,
coronatask.com,Yes,404,Not Found,
coronavirus-book.com,Yes,404,Not Found,
covidwatch.ie,Yes,404,Not Found,
coronavirusprank.com,Yes,404,Not Found,
coronavirusprevention.online,Yes,404,Not Found,
buycoronaprotection.eu,Yes,404,Not Found,
quarantinebaeshop.com,Yes,404,Not Found,
coronavirusvstheworld.com,Yes,404,Not Found,
top10coronamasks.eu,Yes,404,Not Found,
covid19videovisit.com,Yes,404,Not Found,
covid-solution.com,Yes,404,Not Found,
covid-19-mask.org,Yes,404,Not Found,
coronafreefacemasks.com,Yes,404,Not Found,
coronavirusecocleaning.com,Yes,404,Not Found,
covid-19t-shirt.com,Yes,404,Not Found,
stopviruscovid-19.com,Yes,404,Not Found,
fckcoronavirus.org,Yes,404,Not Found,
yourcoronamasks.com,Yes,404,Not Found,
coronacancelled2020.com,Yes,404,Not Found,
coronavirusmortgagelaw.com,Yes,404,Not Found,
coronaviruscontrol.store,Yes,404,Not Found,
coronadefens.com,Yes,404,Not Found,
covid19defender.com,Yes,404,Not Found,
wehatecovid19.com,Yes,404,Not Found,
coronaviruslegalresources.com,Yes,404,Not Found,
disinfect-covid19.info,Yes,404,Not Found,
anticoronavirusarmy.com,Yes,404,Not Found,
disinfect-covid19.net,Yes,404,Not Found,
covid-19calistrong.com,Yes,404,Not Found,
coronaquebec70.org,Yes,404,Not Found,
ecoronas.com,Yes,404,Not Found,
yousurvivedthecoronavirus.com,Yes,404,Not Found,
covid19mask.store,Yes,404,Not Found,
coronavirus-clothing.com,Yes,404,Not Found,
bgrdccovid19.com,Yes,404,Not Found,
officialcoronamasks.com,Yes,404,Not Found,
quizcovid19.com,Yes,404,Not Found,
frontlinecovidprep.com,Yes,404,Not Found,
covid19awarenesstshirts.org,Yes,404,Not Found,
covid19-autorisation.me,Yes,404,Not Found,
coronamaskpk.com,Yes,404,Not Found,
appelenrantcovid19.net.ua,Yes,404,Not Found,
coronabuys.com,Yes,404,Not Found,
coronaeinkaufshilfe.com,Yes,404,Not Found,
corona-protector.eu,Yes,404,Not Found,
coronavirus-merch.com,Yes,404,Not Found,
coronavirusbloodpressure.co.uk,Yes,404,Not Found,
coronavirusscreeningterminal.com,Yes,404,Not Found,
bestcoronamasks.eu,Yes,404,Not Found,
coronagohome.com,Yes,404,Not Found,
coronacover.co,Yes,404,Not Found,
coronaalerte45.org.ua,Yes,404,Not Found,
pausecorona.com,Yes,404,Not Found,
abcoronav.com,Yes,404,Not Found,
coronabox.com,Yes,404,Not Found,
myanticorona.com,Yes,404,Not Found,
storeforcovidprevention.com,Yes,404,Not Found,
corona-tshirt.com,Yes,404,Not Found,
stopthespreadofcovid-19.com,Yes,404,Not Found,
homemadecovidmasks.com,Yes,404,Not Found,
covid-19forpresident.com,Yes,404,Not Found,
em.covid19loans.org,Yes,404,Not Found,
rapid-covid.com,Yes,404,Not Found,
blog.covid19loans.org,Yes,404,Not Found,
rapid-covid.com,Yes,404,Not Found,
corona-chat.xyz,Yes,404,Not Found,
covidkriger.dk,Yes,404,Not Found,
quarantinecards.shop,Yes,404,Not Found,
quarantini.at,Yes,404,Not Found,
donarcovid19.com,Yes,404,Not Found,
games4covid19.com,Yes,404,Not Found,
cov-2019.info,Yes,404,Not Found,
quarantineandchillco.co.uk,Yes,404,Not Found,
covidmaskbox.com,Yes,404,Not Found,
coronaviruschapter7bankruptcy.com,Yes,404,Not Found,
quarantinepump.com,Yes,404,Not Found,
selfquarantineguides.com,Yes,404,Not Found,
getmycovid19gear.com,Yes,404,Not Found,
covid19protectiongears.com,Yes,404,Not Found,
covid-19donar.com,Yes,404,Not Found,
helpcancelcoronavirus.com,Yes,404,Not Found,
quarantinedsquad.com,Yes,404,Not Found,
covidcoloringbook.com,Yes,404,Not Found,
quarantineweightloss.com,Yes,404,Not Found,
newscoronavirus.ca,Yes,404,Not Found,
defendthecorona.net,Yes,404,Not Found,
coronashirtshop.com,Yes,404,Not Found,
timeofcorona.blog,Yes,404,Not Found,
covidsolution.org,Yes,404,Not Found,
covidaid.legal,Yes,404,Not Found,
virusespreventionkit.com,Yes,404,Not Found,
covid-19virusmask.com,Yes,404,Not Found,
virusprotectormask.com,Yes,404,Not Found,
covid19lifehack.com,Yes,404,Not Found,
covid19controlshop.com,Yes,404,Not Found,
covid-safe.shop,Yes,404,Not Found,
covid19-protezioni.it,Yes,404,Not Found,
supportcovid19.us,Yes,404,Not Found,
fkcoronaco.com,Yes,404,Not Found,
